Arm,Reward,Regret,Algorithm
3,5.182508450821993,0,Epsilon-Greedy
3,3.2362124022142154,0,Epsilon-Greedy
3,4.687577840262419,0,Epsilon-Greedy
3,4.3571138615358285,0,Epsilon-Greedy
3,4.228362225921816,0,Epsilon-Greedy
3,4.598034409733224,0,Epsilon-Greedy
3,3.1115842485416856,0,Epsilon-Greedy
3,3.2620408048749354,0,Epsilon-Greedy
3,1.5047716573414531,0,Epsilon-Greedy
3,2.719536066778761,0,Epsilon-Greedy
3,4.504494575011536,0,Epsilon-Greedy
3,5.058538982340959,0,Epsilon-Greedy
3,2.4010672422469868,0,Epsilon-Greedy
3,5.522226538758797,0,Epsilon-Greedy
3,2.908041963557694,0,Epsilon-Greedy
3,2.931050679518352,0,Epsilon-Greedy
3,4.267504680810863,0,Epsilon-Greedy
3,6.058892043239707,0,Epsilon-Greedy
3,2.202588979436558,0,Epsilon-Greedy
3,5.589278471517632,0,Epsilon-Greedy
3,5.409843975844137,0,Epsilon-Greedy
3,4.236591691219796,0,Epsilon-Greedy
3,4.914068065773357,0,Epsilon-Greedy
3,5.0418227946100505,0,Epsilon-Greedy
3,3.2727106092233713,0,Epsilon-Greedy
3,3.9269640251950175,0,Epsilon-Greedy
3,3.9197195392039648,0,Epsilon-Greedy
3,3.8810135130408994,0,Epsilon-Greedy
3,5.732097757595986,0,Epsilon-Greedy
3,4.715117507823613,0,Epsilon-Greedy
3,4.397645378478413,0,Epsilon-Greedy
3,3.184128276558798,0,Epsilon-Greedy
3,5.413282331387373,0,Epsilon-Greedy
3,3.1969064382549797,0,Epsilon-Greedy
3,4.46990978138812,0,Epsilon-Greedy
3,4.383791380596221,0,Epsilon-Greedy
3,5.506348470464111,0,Epsilon-Greedy
3,2.236281375609349,0,Epsilon-Greedy
3,5.458836974876254,0,Epsilon-Greedy
3,4.1680633078029485,0,Epsilon-Greedy
3,2.8321569799462836,0,Epsilon-Greedy
3,5.488215520662424,0,Epsilon-Greedy
3,4.038473731719814,0,Epsilon-Greedy
3,3.4573195783557726,0,Epsilon-Greedy
3,5.661792659436961,0,Epsilon-Greedy
3,3.775269305976707,0,Epsilon-Greedy
3,4.91580483536813,0,Epsilon-Greedy
3,3.4622644690371973,0,Epsilon-Greedy
3,3.575403181929505,0,Epsilon-Greedy
3,2.117651490439498,0,Epsilon-Greedy
3,4.501342223547306,0,Epsilon-Greedy
3,3.5743810644970884,0,Epsilon-Greedy
3,4.617512264952147,0,Epsilon-Greedy
3,3.848020219859124,0,Epsilon-Greedy
3,4.7568886856331964,0,Epsilon-Greedy
3,4.019271563101821,0,Epsilon-Greedy
3,3.9850141188163515,0,Epsilon-Greedy
3,4.380694588169233,0,Epsilon-Greedy
3,3.632719441458172,0,Epsilon-Greedy
3,5.227531444572306,0,Epsilon-Greedy
3,5.3599377058819275,0,Epsilon-Greedy
3,4.372394159298376,0,Epsilon-Greedy
3,2.497014538230265,0,Epsilon-Greedy
3,2.6057887362299392,0,Epsilon-Greedy
3,3.2521434137170457,0,Epsilon-Greedy
3,4.239127023072077,0,Epsilon-Greedy
3,4.535734052621387,0,Epsilon-Greedy
3,4.787641658783158,0,Epsilon-Greedy
3,5.002499544818081,0,Epsilon-Greedy
3,2.993346962156636,0,Epsilon-Greedy
3,2.7625720925015003,0,Epsilon-Greedy
3,3.8721696356616477,0,Epsilon-Greedy
3,4.828614083627759,0,Epsilon-Greedy
3,4.553187080136756,0,Epsilon-Greedy
3,4.300918756747091,0,Epsilon-Greedy
3,3.614289321479159,0,Epsilon-Greedy
3,3.819108173943457,0,Epsilon-Greedy
3,2.28099269225185,0,Epsilon-Greedy
3,3.972192154760563,0,Epsilon-Greedy
3,4.7033657809939315,0,Epsilon-Greedy
3,4.4964081720322,0,Epsilon-Greedy
3,3.7760521988282596,0,Epsilon-Greedy
3,3.791209095125831,0,Epsilon-Greedy
3,2.513127716311046,0,Epsilon-Greedy
3,4.969212203400287,0,Epsilon-Greedy
3,3.1742716821093433,0,Epsilon-Greedy
3,3.777500252134544,0,Epsilon-Greedy
3,3.1554832332172875,0,Epsilon-Greedy
3,4.977970057228273,0,Epsilon-Greedy
3,2.914216197613352,0,Epsilon-Greedy
3,4.9799055680047735,0,Epsilon-Greedy
3,5.698037728304897,0,Epsilon-Greedy
3,4.032479601255994,0,Epsilon-Greedy
3,3.358157594125714,0,Epsilon-Greedy
3,4.530596309429043,0,Epsilon-Greedy
3,1.8884354030476302,0,Epsilon-Greedy
3,4.894669022241648,0,Epsilon-Greedy
3,3.6059111995030464,0,Epsilon-Greedy
3,4.341390565510437,0,Epsilon-Greedy
3,5.378437355503094,0,Epsilon-Greedy
3,4.293185961929622,0,Epsilon-Greedy
3,1.9070357604319548,0,Epsilon-Greedy
3,4.101347093498352,0,Epsilon-Greedy
3,4.139882232502319,0,Epsilon-Greedy
3,3.8678851723162744,0,Epsilon-Greedy
3,4.545629906647539,0,Epsilon-Greedy
3,3.731378287804944,0,Epsilon-Greedy
3,3.3151965825363763,0,Epsilon-Greedy
3,4.220203491881266,0,Epsilon-Greedy
3,3.0181915750261736,0,Epsilon-Greedy
3,4.385608677671884,0,Epsilon-Greedy
3,3.112236017269025,0,Epsilon-Greedy
3,6.124163628309875,0,Epsilon-Greedy
3,3.7471688530616927,0,Epsilon-Greedy
3,3.363116580947606,0,Epsilon-Greedy
3,3.046461454106889,0,Epsilon-Greedy
3,2.8679723169698823,0,Epsilon-Greedy
3,5.831893028246201,0,Epsilon-Greedy
3,3.593991404705351,0,Epsilon-Greedy
3,3.9435748721950374,0,Epsilon-Greedy
3,4.264490303938505,0,Epsilon-Greedy
3,3.0305167140574834,0,Epsilon-Greedy
3,3.624661143874685,0,Epsilon-Greedy
